date,revenue
2022-01-03,48965.71
2022-01-10,51979.98
2022-01-17,49164.73
2022-01-24,50748.73
2022-01-31,53346.29
2022-02-07,55524.38
2022-02-14,54172.08
2022-02-21,46896.5
2022-02-28,53337.96
2022-03-07,52704.35
2022-03-14,53517.01
2022-03-21,56505.17
2022-03-28,47323.62
2022-04-04,51062.24
2022-04-11,54118.98
2022-04-18,48830.66
2022-04-25,56652.16
2022-05-02,57592.05
2022-05-09,55493.5
2022-05-16,52157.37
2022-05-23,55804.58
2022-05-30,56587.28
2022-06-06,54588.46
2022-06-13,54612.58
2022-06-20,54641.99
2022-06-27,51659.66
2022-07-04,53211.18
2022-07-11,56413.67
2022-07-18,53808.72
2022-07-25,54878.51
2022-08-01,49211.59
2022-08-08,50995.19
2022-08-15,54455.08
2022-08-22,48354.69
2022-08-29,47663.52
2022-09-05,49797.3
2022-09-12,51063.15
2022-09-19,48747.56
2022-09-26,51927.86
2022-10-03,50761.98
2022-10-10,50870.01
2022-10-17,50424.28
2022-10-24,55251.32
2022-10-31,49418.63
2022-11-07,45510.34
2022-11-14,55184.3
2022-11-21,50727.19
2022-11-28,52857.41
2022-12-05,56571.8
2022-12-12,49973.3
2022-12-19,51481.12
2022-12-26,55817.35
2023-01-02,53674.66
2023-01-09,57157.11
2023-01-16,57676.6
2023-01-23,57277.27
2023-01-30,53194.35
2023-02-06,51020.84
2023-02-13,56946.06
2023-02-20,55605.29
2023-02-27,57885.51
2023-03-06,58439.16
2023-03-13,56987.89
2023-03-20,58524.97
2023-03-27,57214.74
2023-04-03,58025.16
2023-04-10,55040.03
2023-04-17,56495.61
2023-04-24,63061.25
2023-05-01,59375.59
2023-05-08,56552.69
2023-05-15,59047.65
2023-05-22,57265.58
2023-05-29,57782.25
2023-06-05,63604.74
2023-06-12,53203.93
2023-06-19,54884.95
2023-06-26,54272.56
2023-07-03,51905.96
2023-07-10,55719.14
2023-07-17,58883.82
2023-07-24,55826.74
2023-07-31,56512.4
2023-08-07,58190.76
2023-08-14,60824.77
2023-08-21,54200.82
2023-08-28,57263.11
2023-09-04,53681.85
2023-09-11,51018.69
2023-09-18,51392.99
2023-09-25,49064.12
2023-10-02,50559.67
2023-10-09,52030.42
2023-10-16,55207.95
2023-10-23,57894.11
2023-10-30,50636.08
2023-11-06,55661.21
2023-11-13,52732.3
2023-11-20,57218.18
2023-11-27,56420.0
2023-12-04,52880.66
2023-12-11,60459.69
2023-12-18,57257.74
2023-12-25,58000.05
2024-01-01,57145.62
2024-01-08,58582.31
2024-01-15,61595.86
2024-01-22,60273.47
2024-01-29,61707.92
2024-02-05,61860.91
2024-02-12,64271.83
2024-02-19,60087.76
2024-02-26,57204.9
2024-03-04,63512.33
2024-03-11,59973.56
2024-03-18,63571.12
2024-03-25,61760.16
2024-04-01,60532.16
2024-04-08,61833.65
2024-04-15,65982.17
2024-04-22,66474.73
2024-04-29,61657.72
2024-05-06,62097.52
2024-05-13,64595.33
2024-05-20,63851.83
2024-05-27,63068.78
2024-06-03,62261.61
2024-06-10,63131.35
2024-06-17,60202.71
2024-06-24,58164.1
2024-07-01,56717.54
2024-07-08,58781.34
2024-07-15,60023.55
2024-07-22,59965.97
2024-07-29,65021.01
2024-08-05,68465.52
2024-08-12,56666.21
2024-08-19,59402.93
2024-08-26,57021.45
2024-09-02,56900.63
2024-09-09,57735.5
2024-09-16,58586.92
2024-09-23,56077.31
2024-09-30,59599.63
2024-10-07,54230.62
2024-10-14,57374.84
2024-10-21,64246.37
2024-10-28,58809.23
2024-11-04,62422.18
2024-11-11,64716.05
2024-11-18,61643.38
2024-11-25,60765.76
2024-12-02,61191.91
2024-12-09,60350.25
2024-12-16,64005.99
2024-12-23,61365.96
2024-12-30,65643.96
2025-01-06,67091.24
2025-01-13,65602.46
2025-01-20,64190.96
2025-01-27,66181.18
2025-02-03,64344.42
2025-02-10,67469.04
2025-02-17,63119.8
2025-02-24,64218.03
2025-03-03,60027.24
2025-03-10,61224.63
2025-03-17,68354.3
